,title,department,location,date_added,link
134,"Senior Engineer, Game Center Frameworks",Software and Services,Seattle,"Jul 22, 2021",https://jobs.apple.com/en-us/details/200190383/senior-engineer-game-center-frameworks?team=SFTWR
135,"Embedded Systems Software Engineer, Modeling",Software and Services,Santa Clara Valley (Cupertino),"Sep 21, 2021",https://jobs.apple.com/en-us/details/200290901/embedded-systems-software-engineer-modeling?team=SFTWR
136,"Engineering Manager, Game Center Frameworks",Software and Services,Seattle,"Jul 21, 2021",https://jobs.apple.com/en-us/details/200190379/engineering-manager-game-center-frameworks?team=SFTWR
137,Software Compatibility Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 27, 2021",https://jobs.apple.com/en-us/details/200265048/software-compatibility-engineer?team=SFTWR
138,GPU Driver Engineer,Software and Services,Santa Clara Valley (Cupertino),"May 11, 2021",https://jobs.apple.com/en-us/details/200236664/gpu-driver-engineer?team=SFTWR
139,Display Driver Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 1, 2021",https://jobs.apple.com/en-us/details/200209611/display-driver-software-engineer?team=SFTWR
140,Core Audio Software Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jul 23, 2021",https://jobs.apple.com/en-us/details/200254174/core-audio-software-engineer?team=SFTWR
141,"Senior Engineering Manager, Game Center",Software and Services,Seattle,"Jul 21, 2021",https://jobs.apple.com/en-us/details/200190372/senior-engineering-manager-game-center?team=SFTWR
142,"Salesforce Architect, Senior Manager",Software and Services,Austin,"Aug 26, 2021",https://jobs.apple.com/en-us/details/200274580/salesforce-architect-senior-manager?team=SFTWR
143,Technical Software Architect - Salesforce Implementation,Software and Services,Austin,"Oct 14, 2021",https://jobs.apple.com/en-us/details/200264692/technical-software-architect-salesforce-implementation?team=SFTWR
144,Full Stack Web Engineer,Software and Services,Santa Clara Valley (Cupertino),"Sep 20, 2021",https://jobs.apple.com/en-us/details/200271347/full-stack-web-engineer?team=SFTWR
145,Functional Quality Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 22, 2021",https://jobs.apple.com/en-us/details/200003837/functional-quality-engineer?team=SFTWR
